Inconsistent Movie Records: 
The following [40] records are dropped because of violating constraints in the database
Star Details - ID:WiW30, Title:Buena Vista Social Club, Year:19yy, Director:Wenders.
Star Details - ID:PCx28, Title:The Exile, Year:1993, Director:P.Cox.
Star Details - ID:ECl10, Title:Seven Doors to Death, Year:1944, Director:Clifton.
Star Details - ID:Z1554, Title:The Forbidden Path, Year:1918, Director:Unknown15.
Star Details - ID:IrP3, Title:She, Year:1935, Director:Pichel.
Star Details - ID:MP19, Title:The Tales of Hoffman, Year:1951, Director:M.Powell.
Star Details - ID:ARy40, Title:A Ruthless Romance, Year:1985, Director:Ryazanov.
Star Details - ID:SpJ9, Title:Being John Malkovich, Year:1999, Director:Jonze.
Star Details - ID:KvY10, Title:Hellraiser: Bloodline, Year:1996, Director:Yagher.
Star Details - ID:IHA23, Title:Gangway for Tomorrow, Year:1943, Director:Auer.
Star Details - ID:HaF29, Title:Quiet Weekend, Year:1946, Director:French.
Star Details - ID:PhL10, Title:The Brave Don't Cry, Year:1952, Director:Ph.Leacock.
Star Details - ID:DCa5, Title:Performance, Year:1969, Director:Cammell.
Star Details - ID:CDM10, Title:The Wild Goose Chase, Year:1915, Director:DeMille.
Star Details - ID:BBe23, Title:Take Me Out To The Ball Game, Year:1949, Director:Berkeley.
Star Details - ID:MNa13, Title:Missisipi Masala, Year:1992, Director:Nair.
Star Details - ID:MSo10, Title:La Chiesa, Year:1989, Director:Soavi.
Star Details - ID:BWb10, Title:Let's Get Lost, Year:1988, Director:B.Weber.
Star Details - ID:JSj10, Title:Conspirators of Pleasure, Year:1997, Director:Svankmajer.
Star Details - ID:H61, Title:The Wrong Man, Year:1957, Director:Hitchcock.
Star Details - ID:GLp10, Title:Buddenbrooks, Year:1924, Director:Lamprecht.
Star Details - ID:RoF20, Title:Man of Aran, Year:1934, Director:R.Flaherty.
Star Details - ID:MRi10, Title:Naga Bonar, Year:1987, Director:Risyaf.
Star Details - ID:CAL10, Title:Fric Frac, Year:1939, Director:AutantLara.
Star Details - ID:IH19, Title:Moby Dick, Year:1956, Director:J.Huston.
Star Details - ID:AkK28, Title:Ran, Year:1986, Director:Kurosawa.
Star Details - ID:TDS15, Title:The Concrete Jungle, Year:1983, Director:DeSimone.
Star Details - ID:RdM30, Title:The 300 Spartans, Year:1962, Director:Mate.
Star Details - ID:PaH108, Title:The Impromptu Murder, Year:1958, Director:Henreid.
Star Details - ID:RaW41, Title:The Big Trail, Year:1930, Director:Walsh.
Star Details - ID:MkD30, Title:Mother, Year:1956, Director:Donskoi.
Star Details - ID:MN15, Title:Working Girl, Year:1989, Director:M.Nichols.
Star Details - ID:PiG60, Title:The Birds, the Bees and the Italians, Year:1965, Director:Germi.
Star Details - ID:xFu10, Title:La Vie en Rose, Year:1997, Director:Furtlinger.
Star Details - ID:APy15, Title:Raven Hawk, Year:1996, Director:Pyun.
Star Details - ID:PGD10, Title:The Widow Coudere, Year:1974, Director:GranierDeferre.
Star Details - ID:MiL22, Title:Life is Sweet, Year:1991, Director:Leigh.
Star Details - ID:GPk12, Title:Superfly, Year:1972, Director:Parks.
Star Details - ID:JuJ19, Title:Emmanuelle V, Year:1987, Director:Jaeckin.
Star Details - ID:JAu10, Title:Etes-vous fiancee a un marin grec ou a un pilote de ligne?, Year:1970, Director:Aurel.
Star Details - ID:MSL15, Title:Strange Invaders, Year:1984, Director:M.Laughlin.
Star Details - ID:WvD78, Title:I Married an Angel, Year:1942, Director:VanDyke.
Star Details - ID:KHu13, Title:The Trials of Oscar Wilde, Year:1960, Director:K.Hughes.
Star Details - ID:FTu19, Title:The Big Broadcast, Year:1933, Director:Tuttle.
Star Details - ID:RFl33, Title:Hollywood Boulevard, Year:1936, Director:Florey.
Star Details - ID:ToH40, Title:The Mangler, Year:1995, Director:T.Hooper.
Star Details - ID:DaT10, Title:Johnny Got His Gun, Year:1971, Director:Trumbo.
Star Details - ID:FOR30, Title:Gad Girls from Mars, Year:1990, Director:F.O.Ray.
Star Details - ID:bQs14, Title:Rehearsals for Extinct Anatomies, Year:1988, Director:Quay.
Star Details - ID:IHo10, Title:Happily Ever After, Year:1993, Director:Howley.
Star Details - ID:RD15, Title:Lady Luck, Year:1985, Director:R.Donner.
Star Details - ID:NoT10, Title:Apple Dumpling Gang, Year:1975, Director:Tokar.
Star Details - ID:JAv18, Title:Things You Can Tell Just by Looking at Her, Year:2000, Director:Avnet.
Star Details - ID:WAS110, Title:Broadway, Year:1942, Director:Seiter.
Star Details - ID:EMa10, Title:A New Leaf, Year:1970, Director:E.May.
Star Details - ID:JnN9, Title:The Mind's Eye, Year:1990, Director:Nickman.
Star Details - ID:ThS4, Title:So I Married an Axe Murderer, Year:1993, Director:Schlamme.
Star Details - ID:CuB34, Title:Possessed, Year:1947, Director:Bernhardt.
Star Details - ID:GFi1, Title:Tapeheads, Year:1989, Director:Fishman.
Star Details - ID:EG25, Title:Of Human Bondage, Year:1946, Director:E.Goulding.
Star Details - ID:StD61, Title:Bedazzled, Year:1967, Director:Donen.
Star Details - ID:JCi10, Title:Sweetie, Year:1990, Director:Campion.
Star Details - ID:IS9, Title:Marathon Man, Year:1976, Director:Schlesinger.
Star Details - ID:RhL15, Title:Quints, Year:1963, Director:Ri.Leacock.
Star Details - ID:PY6, Title:The Hot Rock, Year:1972, Director:Yates.
Star Details - ID:JBi10, Title:Pink Narcissus, Year:1971, Director:Bigood.
Star Details - ID:SE26, Title:Ivan the Terrible, part II, Year:1946, Director:Eisenstein.
Star Details - ID:FZe2, Title:Romeo and Juliet, Year:1968, Director:Zeffirelli.
Star Details - ID:CCo10, Title:Home Alone 3, Year:1997, Director:Columbus.
Star Details - ID:ToS29, Title:Spy Game, Year:2000, Director:T.Scott.
Star Details - ID:LyD10, Title:Dream Machine, Year:1990, Director:Dayton.
Star Details - ID:RdB10, Title:Heroes for Sale, Year:1933, Director:Barthelmess.
Star Details - ID:HaW4, Title:Road to Utopia, Year:1945, Director:Walker.
Star Details - ID:DAf10, Title:Mannen Pa Balkongen, Year:1993, Director:Afredson.
Star Details - ID:WA13, Title:Hannah and Her Sisters, Year:1985, Director:Woody~Allen.
Star Details - ID:ERr50, Title:A Tale of Springtime, Year:1992, Director:Rohmer.
Star Details - ID:MLm5, Title:My Giant, Year:1998, Director:M.Lehman.
Star Details - ID:LiW30, Title:Ciao, professore, Year:1994, Director:Wertmuller.
Star Details - ID:SP67, Title:The Firm, Year:1993, Director:S.Pollack.
Star Details - ID:RMo3, Title:Once More My Darling, Year:1946, Director:Montgomery.
Star Details - ID:FT21, Title:La chambre verte, Year:1978, Director:Truffaut.
Star Details - ID:IBa11, Title:Whose Life is it Anyway?, Year:1981, Director:Badham.
Star Details - ID:LBv10, Title:NKT, Year:1997, Director:Berovici.
Star Details - ID:JoD5, Title:Hollywood Boulevard, Year:1976, Director:Dante.
Star Details - ID:IGB30, Title:Tolable David, Year:1930, Director:Blystone.
Star Details - ID:RBe15, Title:Nobody's Fool, Year:1994, Director:Benton.
Star Details - ID:RAl87, Title:Streamers, Year:1983, Director:Altman.
Star Details - ID:CB3, Title:Le Vieil Homme et l'Enfant, Year:1967, Director:Cl.Berri.
Star Details - ID:YRu10, Title:Hollywood Night, Year:1997, Director:Russcol.
Star Details - ID:FBu10, Title:Fang and Claw, Year:1936, Director:Buck.
Star Details - ID:LnK10, Title:Dr.~Jekyll and the Wolfman, Year:1971, Director:Kaminsky.
Star Details - ID:ToZ20, Title:Guns and Fury, Year:1982, Director:Zarindast.
Star Details - ID:W25, Title:The Boob, Year:1926, Director:Wellman.
Star Details - ID:LRF15, Title:Hong Kong, Year:1951, Director:L.R.Foster.
Star Details - ID:IBo5, Title:Deliverance, Year:1972, Director:Boorman.
Star Details - ID:HfK10, Title:London Kills Me, Year:1992, Director:Kureishi.
Star Details - ID:ChL1, Title:A Place in Time, Year:1976, Director:Lane.
Star Details - ID:NiM20, Title:The Deceivers, Year:1985, Director:N.Meyer.
Star Details - ID:DPs10, Title:Home Fries, Year:1998, Director:Parisot.
Star Details - ID:TKo10, Title:Fun with Dick and Jane, Year:1976, Director:Kotcheff.
Star Details - ID:JsF20, Title:Spies, Lies, and Naked Thighs, Year:1986, Director:Frawley.
Star Details - ID:JW10, Title:Remember Last Night, Year:1935, Director:Whale.
Star Details - ID:HaM11, Title:The World's Oldest Motive, Year:1965, Director:H.Morgan.
Star Details - ID:GLC6, Title:Age of Consent, Year:1932, Director:LaCava.
Star Details - ID:ICd10, Title:The Dark, Year:1979, Director:Cardos.
Star Details - ID:LIC10, Title:Sailor Who Fell from Grace With the Sea, Year:1976, Director:Carlino.
Star Details - ID:CCw1, Title:Say Anything, Year:1989, Director:C.Crowe.
Star Details - ID:NOx10, Title:Il Cadavere Vivente, Year:1913, Director:Oxilia.
Star Details - ID:LFl70, Title:Judex, Year:1917, Director:Feuillade.
Star Details - ID:ChS13, Title:Baby Boom, Year:1987, Director:Shyer.
Star Details - ID:SSS55, Title:Son of Lassie, Year:1945, Director:S.Simon.
Star Details - ID:JDe3, Title:Crazy Mama, Year:1975, Director:J.Demme.
Star Details - ID:CGl115, Title:Carmen di Travestere, Year:1962, Director:Gallone.
Star Details - ID:JxS10, Title:Piemule, Year:1992, Director:Sevcikova.
Star Details - ID:JKa50, Title:The Plunderers, Year:1948, Director:Kane.
Star Details - ID:DaH1, Title:Running Scared, Year:1972, Director:Hemmings.
Star Details - ID:LaK23, Title:Mumford, Year:1999, Director:L.Kasdan.
Star Details - ID:DMa12, Title:The Adventures of Charlie Chan, Year:1991, Director:Mamet.
Star Details - ID:LwT50, Title:Navy Seals, Year:1990, Director:Teague.
Star Details - ID:REn18, Title:China Clipper, Year:1936, Director:Enright.
Star Details - ID:FFC2, Title:You're a Big Boy Now, Year:1966, Director:Coppola.
Star Details - ID:VGu34, Title:Jigsaw, Year:1963, Director:V.Guest.
Star Details - ID:DoW95, Title:Critics Choice, Year:1963, Director:D.Weis.
Star Details - ID:GaK10, Title:Some Kind of a Nut, Year:1970, Director:Kanin.
Star Details - ID:KLe1, Title:Eve's Bayou, Year:1997, Director:Lemmons.
Star Details - ID:JHL12, Title:Gun Crazy, Year:1949, Director:J.H.Lewis.
Star Details - ID:MaN30, Title:Rebecca of Sunnybrook Farm, Year:1917, Director:Neilan.
Star Details - ID:CGl44, Title:Mesalina, Year:1924, Director:Gallone.
Star Details - ID:TKa10, Title:Bushido Blade, Year:1981, Director:Katani.
Star Details - ID:CDM60, Title:The Crusades, Year:1935, Director:DeMille.
Star Details - ID:InB29, Title:Shame, Year:1968, Director:I.Bergman.
Star Details - ID:GoH52, Title:Cry of the Banshee, Year:1970, Director:Hessler.
Star Details - ID:VoS48, Title:Palmetto, Year:1998, Director:Schlondorff.
Star Details - ID:JSb30, Title:The Reunion, Year:1990, Director:Schatzberg.
Star Details - ID:JqF6, Title:La Faute d'Orthographe, Year:1918, Director:Feyder.
Star Details - ID:TRs16, Title:The Charge of the Light Brigade, Year:1968, Director:T.Richardson.
Star Details - ID:FB39, Title:Desire, Year:1936, Director:Borzage.
Star Details - ID:H67, Title:A Dip In The Pool, Year:1958, Director:Hitchcock.
Star Details - ID:RLo5, Title:Full Circle, Year:1982, Director:Loncraine.
Star Details - ID:ALs10, Title:Android, Year:1982, Director:Lipstadt.
Star Details - ID:MFr23, Title:Road to Hong Kong, Year:1962, Director:Frank.
Star Details - ID:FL45, Title:Das Indische Grabmal, Year:1958, Director:F.Lang.
Star Details - ID:HBl20, Title:The Saphead, Year:1921, Director:Blanche.
Star Details - ID:Z6930x, Title:The Devil's Brigade, Year:1969, Director:UnYear69.
Star Details - ID:Z5420, Title:Running Hot, Year:1988, Director:Unknown54.
Star Details - ID:HCP10, Title:Helzapoppin, Year:1942, Director:H.Potter.
Star Details - ID:GSy17, Title:Pal Joey, Year:1957, Director:Sidney.
Star Details - ID:VrS15, Title:Roses of Picardy, Year:1928, Director:V.Saville.
Star Details - ID:JPR25, Title:Cyrano de Bergerac, Year:1991, Director:Rappeneau.
Star Details - ID:ILb12, Title:Aqua Sex, Year:1965, Director:Lamb.
Star Details - ID:PrWl, Title:Don't Cry It's Only Thunder, Year:1981, Director:Werner.
Star Details - ID:ACj112, Title:The Man Who Found The Money, Year:1960, Director:Crosland~jr.
Star Details - ID:ChH3, Title:Girls Town, Year:1959, Director:C.Haas.
Star Details - ID:ThD30, Title:Gaslight, Year:1939, Director:Dickinson.
Star Details - ID:UlG1, Title:The Subject was Roses, Year:1968, Director:Grosbard.
Star Details - ID:HDA6, Title:Laughter, Year:1930, Director:DArrast.
Star Details - ID:KeR10, Title:Robin Hood: Prince of Thieves, Year:1991, Director:K.Reynolds.
Star Details - ID:GaK3, Title:The Great Man Votes, Year:1938, Director:Kanin.
Star Details - ID:EZw7, Title:Courage Under Fire, Year:1996, Director:Zwick.
Star Details - ID:SRo32, Title:The Laughing Policeman, Year:1973, Director:Rosenberg.
Star Details - ID:FSc10, Title:Barbarosa, Year:1982, Director:Schepisi.
Star Details - ID:PlT10, Title:Allonsenfan, Year:1973, Director:Taviani.
Star Details - ID:GLt10, Title:La Cage Au Folles III, Year:1985, Director:Lautner.
Star Details - ID:WW65, Title:Detective Story, Year:1951, Director:Wyler.
Star Details - ID:GC1, Title:Grumpy, Year:1930, Director:Cukor.
Star Details - ID:JSk15, Title:Deep End, Year:1971, Director:Skolimowski.
Star Details - ID:RoS80, Title:Kidnapped, Year:1960, Director:Stevenson.
Star Details - ID:WiB100, Title:Crazy Knights, Year:1944, Director:Beaudine.
Star Details - ID:Gmy25, Title:Extase, Year:1933, Director:Machaty.
Star Details - ID:DSh10, Title:Heartaches, Year:1981, Director:Shebib.
Star Details - ID:VrS27, Title:The Iron Duke, Year:1936, Director:V.Saville.
Star Details - ID:RYo12, Title:Gulag, Year:1985, Director:Rg.Young.
Star Details - ID:GrG10, Title:Bitter Bread, Year:1951, Director:Grigoriou.
Star Details - ID:DMc1, Title:Cousin Bette, Year:1998, Director:McAnuff.
Star Details - ID:AWj31, Title:Without Anesthesia, Year:1978, Director:Wajda.
Star Details - ID:JVl10, Title:Angels Die Hard, Year:1971, Director:Viola.
Star Details - ID:PGg1, Title:Resurrected, Year:1989, Director:Greengrass.
Star Details - ID:ClP10, Title:La Boum, Year:1980, Director:Pinoteau.
Star Details - ID:ClM30, Title:The Little Thief, Year:1989, Director:C.Miller.
Star Details - ID:PY32, Title:Roommates, Year:1995, Director:Yates.
Star Details - ID:ToS10, Title:Days of Thunder, Year:1986, Director:T.Scott.
Star Details - ID:MaW10, Title:The Dybbuk, Year:1938, Director:Waszynski.
Star Details - ID:GDG1, Title:Dad, Year:1989, Director:Goldberg.
Star Details - ID:RCo48, Title:Gas-s-s!, Year:1970, Director:Corman.
Star Details - ID:OW6, Title:Macbeth, Year:1948, Director:Welles.
Star Details - ID:nYo15, Title:Bishonen, Year:1999, Director:Yonfan.
Star Details - ID:WvD56, Title:San Francisco, Year:1936, Director:VanDyke.
Star Details - ID:ElS10, Title:The Car, Year:1977, Director:Silverstein.
Star Details - ID:AlF10, Title:Valparaiso Mon Amour, Year:1968, Director:Francia.
Star Details - ID:RoS4, Title:The Man Who Changed His Mind, Year:1936, Director:Stevenson.
Star Details - ID:BCl1, Title:Deathdream, Year:1972, Director:B.Clark.
Star Details - ID:JNi24, Title:Wolf, Year:1994, Director:J.Nicholson.
Star Details - ID:BVi12, Title:The Man from Yesterday, Year:1932, Director:Viertel.
Star Details - ID:HWx11, Title:Nell Gwynn, Year:1934, Director:H.Wilcox.
Star Details - ID:RZL28, Title:Ziegfeld Girl, Year:1942, Director:Leonard.
Star Details - ID:JoD11, Title:The Howling, Year:1980, Director:Dante.
Star Details - ID:JPM10, Title:Bob Le Flambeur, Year:1955, Director:Melville.
Star Details - ID:BtB19, Title:Going Places, Year:1985, Director:Bt.Blier.
Star Details - ID:CWm10, Title:Superstar: The Life and Times of Andy Warhol, Year:1990, Director:Workman.
Star Details - ID:RWB77, Title:The Monster Club, Year:1981, Director:R.W.Baker.
Star Details - ID:RiQ6, Title:Cruising Down the River, Year:1953, Director:Quine.
Star Details - ID:ClS31, Title:Mado, Year:1978, Director:Sautet.
Star Details - ID:HBn10, Title:The Kreuzer Sonata, Year:1913, Director:Brenon.
Star Details - ID:FB52, Title:The Mortal Storm, Year:1940, Director:Borzage.
Star Details - ID:RoA11, Title:Attack!, Year:1957, Director:Aldrich.
Star Details - ID:WTa20, Title:Heroes, Year:1985, Director:Tannen.
Star Details - ID:CSr10, Title:Carmen, Year:1983, Director:Saura.
Star Details - ID:MBa40, Title:Great Guns, Year:1941, Director:Banks.
Star Details - ID:ISn4, Title:Higher Learning, Year:1993, Director:J.Singleton.
Star Details - ID:GeK1, Title:Too Many Crooks, Year:1931, Director:G.King.
Star Details - ID:GSy30, Title:Bye Bye Birdie, Year:1963, Director:Sidney.
Star Details - ID:xSz10, Title:Punchline, Year:1988, Director:Seltzer.
Star Details - ID:BTv3, Title:The Judge and the Assasin, Year:1976, Director:Tavernier.
Star Details - ID:WD1, Title:Steamboat Willie, Year:1928, Director:Disney.
Star Details - ID:GxR10, Title:Betrayed, Year:1954, Director:G.Reinhardt.
Star Details - ID:KSk10, Title:Zero City, Year:1989, Director:Shaknazarov.
Star Details - ID:AnD10, Title:L'Uomo Meccanico, Year:1921, Director:Deed.
Star Details - ID:TgD1, Title:The Adventures of Picasso, Year:1980, Director:Danielson.
Star Details - ID:GyS10, Title:Like a Bride, Year:1993, Director:Schyfter.
Star Details - ID:PeS3, Title:Countess Dracula, Year:1970, Director:Sasdy.
Star Details - ID:ELh1, Title:Portnoy's Complaint, Year:1972, Director:E.Lehman.
Star Details - ID:RcB25, Title:Bite the Bullet, Year:1975, Director:R.Brooks.
Star Details - ID:SS5, Title:The Sugarland Express, Year:1973, Director:Spielberg.
Star Details - ID:GKe5, Title:The Tunnel of Love, Year:1958, Director:Gene~Kelly.
Star Details - ID:PaH54, Title:Last Request, Year:1957, Director:Henreid.
Star Details - ID:PMG10, Title:The Running Man, Year:1987, Director:Glaser.
Star Details - ID:BSc40, Title:Before and After , Year:1996, Director:Schroeder.
Star Details - ID:RVL30, Title:Tower of London, Year:1939, Director:R.V.Lee.
Star Details - ID:JIv37, Title:Maurice, Year:1987, Director:Ivory.
Star Details - ID:RaW2, Title:The Thief of Bagdad, Year:1924, Director:Walsh.
Star Details - ID:MEl10, Title:Lush Life, Year:1994, Director:Elias.
Star Details - ID:HKl30, Title:Tammy tell me True, Year:1961, Director:Keller.
Star Details - ID:RWN34, Title:The Woman in Green, Year:1945, Director:R.W.Neill.
Star Details - ID:DkP5, Title:The Hunters, Year:1958, Director:D.Powell.
Star Details - ID:JaH22, Title:Captain Nemo and the Underwater City, Year:1969, Director:J.Hill.
Star Details - ID:MLn10, Title:The Loneliest Runner, Year:1976, Director:M.Landon.
Star Details - ID:IMS50, Title:Holy Matrimony, Year:1943, Director:Stahl.
Star Details - ID:LM22, Title:The Puple Heart, Year:1944, Director:Milesstone.
Star Details - ID:MiT1, Title:Villain, Year:1971, Director:Tuchner.
Star Details - ID:MJu10, Title:Office Space, Year:1999, Director:M.Judge.
Star Details - ID:RSt324, Title:The Hands of Mr.~Ottermole, Year:1957, Director:R.Stevens.
Star Details - ID:WiC60, Title:Strait-Jacket, Year:1964, Director:W.Castle.
Star Details - ID:RaK5, Title:Grease, Year:1998, Director:Kleiser.
Star Details - ID:BaD26, Title:The League of Gentlemen, Year:1960, Director:B.Dearden.
Star Details - ID:IGy10, Title:The Glimmerman, Year:1996, Director:J.Gray.
Star Details - ID:JmC10, Title:Benjamin Smoke, Year:2000, Director:J.Cohen.
Star Details - ID:WW64, Title:The Heiress, Year:1949, Director:Wyler.
Star Details - ID:MGA14, Title:Half of Heaven, Year:1986, Director:Aragon.
Star Details - ID:NkM10, Title:Bank Robber, Year:1993, Director:Mead.
Star Details - ID:JLM2, Title:Dragonwyk, Year:1946, Director:J.L.Mankiewicz.
Star Details - ID:FrR11, Title:More Than a Miracle, Year:1968, Director:Rosi.
Star Details - ID:TBs16, Title:L'Urlo, Year:1951, Director:Brass.
Star Details - ID:BSt5, Title:Prince of Tides, Year:1991, Director:Streisand.
Star Details - ID:ChW18, Title:Please Dont Eat the Daisies, Year:1960, Director:Walters.
Star Details - ID:TB10, Title:The Virgin of Stamboul, Year:1920, Director:T.Browning.
Star Details - ID:ClZ10, Title:Ripoux contre Ripoux, Year:1989, Director:Zidi.
Star Details - ID:TrJ14, Title:Secret Policeman's Other Ball, Year:1982, Director:T.Jones.
Star Details - ID:MRs40, Title:Daddy's Gone A-Hunting, Year:1987, Director:Robson.
Star Details - ID:IMN15, Title:Mad Dog and Glory, Year:1993, Director:McNaughton.
Star Details - ID:GBS120, Title:Sky Murder, Year:1940, Director:Seitz.
Star Details - ID:VME11, Title:One Little Indian, Year:1972, Director:McEveety.
Star Details - ID:IMi4, Title:Conan the Barbarian, Year:1982, Director:Milius.
Star Details - ID:BBa1, Title:Dona Flor and Her Two Husbands, Year:1976, Director:B.Barreto.
Star Details - ID:IrC73, Title:Poor Little Rich Girl, Year:1936, Director:I.Cummings.
Star Details - ID:VoS49, Title:The Ogre, Year:1998, Director:Schlondorff.
Star Details - ID:WCr42, Title:A Vampire in Brooklyn , Year:1995, Director:W.Craven.
Star Details - ID:CHa25, Title:The River Wild, Year:1995, Director:Hanson.
Star Details - ID:HCa10, Title:Coming Out, Year:1989, Director:Carow.
Star Details - ID:FWa10, Title:When a Stranger Calls, Year:1979, Director:Walton.
Star Details - ID:PlT20, Title:Padro Padrone, Year:1977, Director:Taviani.
Star Details - ID:IAv7, Title:Save the Tiger, Year:1973, Director:J.G.Avildsen.
Star Details - ID:RRo9, Title:Francesca, Giullare di Dio, Year:1949, Director:Rossellini.
Star Details - ID:WBz5, Title:The Theatre of M.~and Mme.~Kobal, Year:1967, Director:Borowczyck.
Star Details - ID:LBe1, Title:The First Fight , Year:1978, Director:Besson.
Star Details - ID:NoL32, Title:Almost a Honeymoon, Year:1938, Director:N.Lee.
Star Details - ID:JJm6, Title:Night on Earth, Year:1992, Director:Jarmusch.
Star Details - ID:MS28, Title:The Age of Innocence, Year:1993, Director:Scorsese.
Star Details - ID:YOz65, Title:Early Spring, Year:1956, Director:Ozu.
Star Details - ID:BuK2, Title:Take the Bit in Your Teeth, Year:1964, Director:Kennedy.
Star Details - ID:DBu10, Title:Lily of the Dust, Year:1924, Director:Buchowetzski.
Star Details - ID:DHo18, Title:Out of the Blue, Year:1982, Director:D.Hopper.
Star Details - ID:RaT36, Title:Deadlier Than the Male, Year:1966, Director:R.Thomas.
Star Details - ID:BE16, Title:The Party, Year:1968, Director:B.Edwards.
Star Details - ID:DeM2, Title:The Bachelor Party, Year:1957, Director:Del.Mann.
Star Details - ID:LAr2, Title:The Man in Grey, Year:1943, Director:Arliss.
Star Details - ID:IGu29, Title:King Kong, Year:1976, Director:Guillermin.
Star Details - ID:BBT10, Title:All the Pretty Horses, Year:1999, Director:Thornton.
Star Details - ID:ArH115, Title:The Doubtful Doctor, Year:1960, Director:Hiller.
Star Details - ID:UbR10, Title:The Last Man on Earth, Year:1964, Director:Ragona.
Star Details - ID:FTu40, Title:True to the Army, Year:1940, Director:Tuttle.
Star Details - ID:HY17, Title:There's One Born Every Minute, Year:1942, Director:H.Young.
Star Details - ID:SFi10, Title:Revenge of the Ninja, Year:1983, Director:Firstenberg.
Star Details - ID:IAv18, Title:Happy New Year, Year:1987, Director:J.G.Avildsen.
Star Details - ID:EtS7, Title:La Nuit de Varennes, Year:1981, Director:Scola.
Star Details - ID:FFC15, Title:Peggy Sue Got Married, Year:1986, Director:Coppola.
Star Details - ID:RZe19, Title:Forrest Gump, Year:1994, Director:Zemeckis.
Star Details - ID:RaW78, Title:Blackbeard the Pirate, Year:1952, Director:Walsh.
Star Details - ID:OW9, Title:A Touch of Evil, Year:1998, Director:Welles.
Star Details - ID:JWe3, Title:Pete Kelly's Blues, Year:1955, Director:J.Webb.
Star Details - ID:TSt1, Title:Rosenkrantz and Guildenstern are Dead, Year:1990, Director:Stoppard.
Star Details - ID:KoI67, Title:Devil's Island, Year:1978, Director:Ichikawa.
Star Details - ID:AKr10, Title:Die Kirschernte, Year:1996, Director:Kranenborg.
Star Details - ID:CWi10, Title:So Lang noch ein Waltzer von Strauss Erklingt, Year:1931, Director:C.Wiene.
Star Details - ID:YOz45, Title:Early Summer, Year:1951, Director:Ozu.
Star Details - ID:RgH10, Title:Hi Life, Year:1998, Director:Hedden.
Star Details - ID:RWF33, Title:Lili Marleen, Year:1980, Director:Fassbinder.
Star Details - ID:CuH2, Title:Voyage to a Prehstoric Planet, Year:1964, Director:Harrington.
Star Details - ID:ToS5, Title:Top Gun, Year:1986, Director:T.Scott.
Star Details - ID:AKj10, Title:Coming Home, Year:1961, Director:Kjellin.
Star Details - ID:WHu27, Title:The Summer House, Year:1993, Director:W.Hussein.
Star Details - ID:XWZ15, Title:The Emperor's Shadow, Year:1998, Director:Zhou.
Star Details - ID:GKc2, Title:In Praise of Older Women, Year:1978, Director:Kaczender.
Star Details - ID:JuD3, Title:Poil de Carotte, Year:1932, Director:Duvivier.
Star Details - ID:SRa10, Title:Under the Rainbow, Year:1981, Director:Rash.
Star Details - ID:RCo32, Title:The Premature Burial, Year:1962, Director:Corman.
Star Details - ID:RZL37, Title:In the Good Old Summertime, Year:1949, Director:Leonard.
Star Details - ID:HaW9, Title:Road to Bali, Year:1952, Director:Walker.
Star Details - ID:bQs30, Title:Long way down (Look What the Cat drug In), Year:1993, Director:Quay.
Star Details - ID:RoS68, Title:The Shaggy Dog, Year:1959, Director:Stevenson.
Star Details - ID:CDu10, Title:Watermelon Woman, Year:1996, Director:Dunye.
Star Details - ID:LoW5, Title:Where are My Children, Year:1916, Director:Weber.
Star Details - ID:GC44, Title:Song Without End, Year:1960, Director:Cukor.
Star Details - ID:GiG10, Title:Rage, Year:1966, Director:Gazcon.
Star Details - ID:Z1812, Title:Marked for Death, Year:1990, Director:Unknown18.
Star Details - ID:JHL17, Title:The Big Combo, Year:1955, Director:J.H.Lewis.
Star Details - ID:JrF10, Title:Borderline, Year:1980, Director:Freedman.
Star Details - ID:VME18, Title:The Apple Dumpling Gang Rides Again, Year:1979, Director:McEveety.
Star Details - ID:IsS7, Title:Hanussen, Year:1985, Director:Szabo.
Star Details - ID:PaW10, Title:Out of Ireland, Year:1994, Director:P.Wagner.
Star Details - ID:Z9640, Title:Pagemaster, Year:1996, Director:UnYear96.
Star Details - ID:FTu15, Title:This is the Night, Year:1932, Director:Tuttle.
Star Details - ID:MF5, Title:One Flew over the Cuckoo's Nest, Year:1975, Director:Forman.
Star Details - ID:AL13, Title:Castle on the Hudson, Year:1940, Director:Litvak.
Star Details - ID:KMz26, Title:Sisters of the Gion, Year:1936, Director:Mizoguchi.
Star Details - ID:DPt23, Title:Six Pack, Year:1982, Director:Petrie.
Star Details - ID:WA18, Title:Alice, Year:1990, Director:Woody~Allen.
Star Details - ID:VrS29, Title:South Riding, Year:1938, Director:V.Saville.
Star Details - ID:AKe1, Title:Madonna, Truth or Dare, Year:1991, Director:Keshishian.
Star Details - ID:ZK4, Title:The Jungle Book, Year:1942, Director:Z.Korda.
Star Details - ID:JBL40, Title:Fire in the Straw, Year:1933, Director:BenoitLevy.
Star Details - ID:BGi11, Title:Ten O'clock Tiger, Year:1962, Director:B.Girard.
Star Details - ID:IFy40, Title:Brainscan, Year:1994, Director:J.Flynn.
Star Details - ID:MS25, Title:Goodfellas, Year:1990, Director:Scorsese.
Star Details - ID:LuM25, Title:Angel Eyes, Year:2001, Director:Mandoki.
Star Details - ID:DoW70, Title:Ride the High Iron, Year:1951, Director:D.Weis.
